4 machines found
claire
claire
claire
claire
CRF loss
Parsing training data: ../data/train.txt
Parsing test data: ../data/test.txt
Data loading completed
====================  Summary of settings =================
Training data: ../data/train.txt
Test data: ../data/test.txt
loss: CRF, lambda: 1.000000e-04, Processors: 4
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
144 2.05091 0.0227667 81.9336 155 8.835202 34.962187 14.203374 48.298924
145 2.05003 0.0167733 82.4865 156 8.842908 34.816754 14.195740 48.182611
146 2.04908 0.0298185 83.0092 157 8.796671 34.700407 14.241545 48.589706
147 2.04807 0.0231204 83.5633 158 8.808230 34.438627 14.237728 48.560628
148 2.04719 0.0185724 84.0647 159 8.831349 34.438627 14.249179 48.473393
149 2.04572 0.0182724 84.6782 160 8.735021 34.205934 14.310253 48.706019
150 2.0441 0.0647154 85.2373 161 8.646399 34.002327 14.283533 48.560628
151 2.04148 0.0181836 85.8248 162 8.580896 33.973240 14.268265 48.706019
152 2.04084 0.0173122 86.3639 163 8.557778 33.915067 14.268265 48.647863
153 2.03953 0.0162852 86.9692 164 8.588602 34.060500 14.237728 48.560628
154 2.03891 0.0195106 88.0404 166 8.615574 34.176847 14.268265 48.589706
155 2.03839 0.0136306 88.6438 167 8.615574 34.089587 14.287350 48.560628
156 2.03768 0.00929824 89.2495 168 8.661812 34.118674 14.275899 48.560628
157 2.03741 0.0140498 89.8557 169 8.642546 33.944154 14.252996 48.386159
158 2.03712 0.00853673 90.3718 170 8.627134 34.002327 14.249179 48.386159
159 2.03684 0.0117151 90.8181 171 8.604015 33.973240 14.237728 48.357081
160 2.03671 0.0174114 91.4297 172 8.638693 33.915067 14.241545 48.502472
161 2.03656 0.00841597 91.9592 173 8.588602 33.798720 14.230094 48.444315
162 2.03641 0.00929189 92.4199 174 8.607868 33.827807 14.230094 48.298924
163 2.03617 0.0133111 92.9237 175 8.630987 33.915067 14.241545 48.357081
164 2.03569 0.0134703 94.0935 177 8.588602 33.827807 14.188106 48.269846
165 2.03549 0.00705545 94.6256 178 8.619427 33.944154 14.214826 48.211689
166 2.03534 0.00727086 95.1321 179 8.604015 34.002327 14.218643 48.153533
167 2.03519 0.0250677 95.7362 180 8.592456 33.769634 14.207191 48.357081
168 2.03479 0.00758699 96.2289 181 8.611721 34.002327 14.195740 48.124455
169 2.03469 0.00822377 96.76 182 8.604015 33.973240 14.199557 48.153533
170 2.03416 0.0127034 97.3012 183 8.580896 33.885980 14.203374 48.182611
171 2.03375 0.0113557 98.3116 185 8.573190 33.885980 14.222460 48.415237
172 2.03359 0.00616636 98.8642 186 8.604015 34.002327 14.188106 48.415237
173 2.03347 0.00620674 99.4662 187 8.627134 34.147760 14.172838 48.328002
174 2.03333 0.00752341 100.073 188 8.607868 34.089587 14.153752 48.269846
175 2.03325 0.00956477 100.546 189 8.619427 34.089587 14.153752 48.182611
176 2.03316 0.00586098 101.157 190 8.619427 34.118674 14.142301 48.095377
177 2.03299 0.00729073 101.771 191 8.592456 33.973240 14.165203 48.182611
178 2.03284 0.00711545 102.309 192 8.596309 33.973240 14.172838 48.153533
179 2.03273 0.00722885 102.873 193 8.607868 34.002327 14.169021 48.153533
180 2.0326 0.00721182 103.456 194 8.588602 33.944154 14.157569 48.124455
181 2.03249 0.00970338 104.66 196 8.619427 33.973240 14.191923 48.182611
182 2.03238 0.00770617 105.273 197 8.638693 34.031414 14.195740 48.182611
183 2.03212 0.00893123 105.884 198 8.650252 33.973240 14.149935 48.153533
184 2.03207 0.00567869 107.094 200 8.650252 34.031414 14.123216 48.095377
185 2.03203 0.00449031 107.578 201 8.642546 34.002327 14.123216 48.037220
Optimization converged with status CONVERGED_GTTOL.
Total CPU time: 96.77 seconds 
Total wallclock time: 107.578 seconds 
Objective/gradient CPU time: 96.42 seconds 
Objective/gradient wallclock time: 107.027 seconds 
